name,rb_color_id,bl_color_id,bo_color_id
[Unknown],-1,,0
Black,0,11,38
Blue,1,7,39
Green,2,6,61
Dark Turquoise,3,39,58
Red,4,5,81
Dark Pink,5,47,17
Brown,6,8,46
Light Gray,7,9,66
Dark Gray,8,10,53
Light Blue,9,62,63
Bright Green,10,36,41
Light Turquoise,11,40,12
Salmon,12,25,84
Pink,13,23,3
Yellow,14,3,93
White,15,1,92
Light Green,17,38,11
Light Yellow,18,33,9
Tan,19,2,89
Light Violet,20,44,16
Glow In Dark Opaque,21,46,127
Purple,22,24,4
Dark Blue-Violet,23,109,49
Orange,25,4,80
Magenta,26,71,72
Lime,27,34,70
Dark Tan,28,69,57
Bright Pink,29,104,45
Medium Lavender,30,157,76
Lavender,31,154,36
Trans-Black IR Lens,32,,
Trans-Dark Blue,33,14,98
Trans-Green,34,20,100
Trans-Bright Green,35,108,96
Trans-Red,36,17,108
Trans-Brown,40,13,95
Trans-Light Blue,41,15,101
Trans-Neon Green,42,16,103
Trans-Very Lt Blue,43,113,25
Trans-Dark Pink,45,50,99
Trans-Yellow,46,19,109
Trans-Clear,47,12,97
Trans-Purple,52,51,107
Trans-Neon Yellow,54,121,104
Trans-Neon Orange,57,18,161
Chrome Antique Brass,60,57,110
Chrome Blue,61,52,112
Chrome Green,62,64,113
Chrome Pink,63,82,114
Chrome Black,64,122,111
Very Light Orange,68,96,91
Light Purple,69,93,69
Reddish Brown,70,88,82
Light Bluish Gray,71,86,64
Dark Bluish Gray,72,85,50
Medium Blue,73,42,14
Medium Green,74,37,10
Speckle Black-Copper,75,116,133
Speckle DBGray-Silver,76,117,134
Light Pink,77,56,68
Light Nougat,78,90,65
Milky White,79,60,130
Metallic Silver,80,67,126
Metallic Green,81,70,125
Metallic Gold,82,65,124
Medium Nougat,84,150,74
Dark Purple,85,89,55
Light Brown,86,91,52
Royal Blue,89,97,40
Nougat,92,28,6
Light Salmon,100,26,5
Violet,110,43,15
Medium Bluish Violet,112,73,78
Glitter Trans-Dark Pink,114,100,132
Medium Lime,115,76,77
Glitter Trans-Clear,117,101,131
Aqua,118,41,13
Light Lime,120,35,67
Light Orange,125,32,8
Glitter Trans-Purple,129,102,22
Speckle Black-Silver,132,111,24
Speckle Black-Gold,133,151,35
Copper,134,84,116
Pearl Light Gray,135,66,122
Pearl Sand Blue,137,78,118
Pearl Light Gold,142,61,121
Trans-Medium Blue,143,74,102
Pearl Dark Gray,148,77,119
Pearl Very Light Gray,150,119,27
Very Light Bluish Gray,151,99,90
Yellowish Green,158,158,94
Flat Dark Gold,178,81,21
Flat Silver,179,95,117
Trans-Orange,182,98,105
Pearl White,183,83,123
Bright Light Orange,191,110,43
Bright Light Blue,212,105,42
Rust,216,27,83
Bright Light Yellow,226,103,44
Trans-Pink,230,107,106
Sky Blue,232,87,88
Trans-Light Purple,236,114,26
Dark Blue,272,63,48
Dark Green,288,80,20
Glow In Dark Trans,294,118,128
Pearl Gold,297,115,120
Dark Brown,308,120,51
Maersk Blue,313,72,71
Dark Red,320,59,56
Dark Azure,321,153,47
Medium Azure,322,156,73
Light Aqua,323,152,62
Olive Green,326,155,79
Chrome Gold,334,21,2
Sand Red,335,58,87
Medium Dark Pink,351,94,75
Earth Orange,366,29,59
